algorithm,balanced,minority_class_count,auc
h2o.glm,N/A,4,0.506400342603742
h2o.glm,native,4,0.506400342603742
h2o.glm,ubOver,4,0.5142515933721599
h2o.glm,N/A,8,0.514547346399341
h2o.glm,native,8,0.514547346399341
h2o.glm,ubOver,8,0.5244430654998106
h2o.glm,N/A,16,0.5447656372460461
h2o.glm,native,16,0.5447656372460461
h2o.glm,ubOver,16,0.5588635052974052
h2o.glm,N/A,32,0.5474668185810473
h2o.glm,native,32,0.5474668185810473
h2o.glm,ubOver,32,0.5525890009441785
h2o.glm,N/A,64,0.5723531050712104
h2o.glm,native,64,0.5723531050712104
h2o.glm,ubOver,64,0.5672315090494897
h2o.glm,N/A,128,0.5383367061459831
h2o.glm,native,128,0.5383367061459831
h2o.glm,ubOver,128,0.564538421999788
h2o.glm,N/A,256,0.5904399275103547
h2o.glm,native,256,0.5904399275103547
h2o.glm,ubOver,256,0.5834539847591401
h2o.glm,N/A,512,0.6028503580982932
h2o.glm,native,512,0.6028503580982932
h2o.glm,ubOver,512,0.5992848980157618
h2o.glm,N/A,1024,0.6487718029231319
h2o.glm,native,1024,0.6487718029231319
h2o.glm,ubOver,1024,0.6456444794512333
h2o.glm,N/A,1914,0.6686054441315428
h2o.glm,native,1914,0.6686054441315428
h2o.glm,ubOver,1914,0.662148041980494
h2o.gbm,N/A,4,0.4999952284143897
h2o.gbm,native,4,0.49998646368737687
h2o.gbm,ubOver,4,0.49998646368737687
h2o.gbm,N/A,8,0.5001173075289068
h2o.gbm,native,8,0.5005719531765561
h2o.gbm,ubOver,8,0.5005368612185611
h2o.gbm,N/A,16,0.500614093330117
h2o.gbm,native,16,0.5004684764588772
h2o.gbm,ubOver,16,0.5004868708181238
h2o.gbm,N/A,32,0.5002601948289102
h2o.gbm,native,32,0.5026698033644206
h2o.gbm,ubOver,32,0.5020992775323047
h2o.gbm,N/A,64,0.5019435780675501
h2o.gbm,native,64,0.5020824642587538
h2o.gbm,ubOver,64,0.5039208195682998
h2o.gbm,N/A,128,0.5011236325734109
h2o.gbm,native,128,0.5138200133391815
h2o.gbm,ubOver,128,0.5120571488222867
h2o.gbm,N/A,256,0.5106374353780576
h2o.gbm,native,256,0.5280882340789594
h2o.gbm,ubOver,256,0.5348378487819789
h2o.gbm,N/A,512,0.5154866104524386
h2o.gbm,native,512,0.5548144498822336
h2o.gbm,ubOver,512,0.5539672116266166
h2o.gbm,N/A,1024,0.5223351498335808
h2o.gbm,native,1024,0.5740285415689422
h2o.gbm,ubOver,1024,0.5787104883549318
h2o.gbm,N/A,1914,0.5542254520825213
h2o.gbm,native,1914,0.5914721640057465
h2o.gbm,ubOver,1914,0.5813045253137784
